,zone,radius,logRho,logT,logL,log_Lrad,log_Ledd,mass,logP,log_g,velocity,v_rot,conv_vel,opacity,mu,dm,x_mass_fraction_H,y_mass_fraction_He,z_mass_fraction_metals,eps_grav,net_nuclear_energy,h1,he3,he4,c12,n14,o16,ne20,mg24,fe56
11,11.0,146.32953317442133,-8.49310072680721,3.4970628987984944,3.2723973175515693,3.2723973175515693,6.979681664068882,0.7356849968041768,2.796324121607798,-0.02608272143644012,0.0,0.0,0.0,0.0010036658521797852,1.3384575056005117,1.2994451788456756e+24,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504463769177154,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
12,12.0,146.32952871586164,-8.493099941214373,3.497063012301686,3.272397317551628,3.272397317551628,6.979681212650813,0.7356849961509266,2.796325029450764,-0.026082695356765682,0.0,0.0,0.0,0.00100366730414772,1.3384574781686698,2.3207432786191505e+24,0.6798356552373789,0.30009491294458485,0.020069431818036332,-0.7504436517371874,0.0,0.6798356552373789,0.0013666761375686163,0.2987282368070162,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
13,13.0,146.32952075311331,-8.493098512070727,3.4970632187865247,3.272397317551733,3.272397317551733,6.979680406437759,0.7356849949842551,2.796326680991666,-0.026082648779865592,0.0,0.0,0.0,0.0010036699455841396,1.3384574282647883,4.265093546626841e+24,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.750438694114267,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
14,14.0,146.3295061191127,-8.493095835493026,3.497063605505359,3.2723973175519263,3.2723973175519263,6.979678924757608,0.73568499284013,2.7963297740900623,-0.02608256318047526,0.0,0.0,0.0,0.0010036748927101874,1.3384573348017028,8.069293394802289e+24,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7504294092141397,0.0,0.6798356552373789,0.0013666761375686167,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
15,15.0,146.3294784326503,-8.493090713240623,3.497064345591867,3.2723973175522922,3.2723973175522922,6.979676121471901,0.735684988783578,2.7963356934625616,-0.026082401232658613,0.0,0.0,0.0,0.0010036843605497742,1.338457155936989,1.5535689117474875e+25,0.6798356552373788,0.3000949129445849,0.020069431818036332,-0.7504116404194227,0.0,0.6798356552373788,0.0013666761375686165,0.29872823680701627,0.003024992661955512,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
16,16.0,146.32942512892032,-8.493080812840734,3.497065776085368,3.2723973175529957,3.2723973175529957,6.979670724206516,0.7356849809735592,2.796347134594738,-0.026082089440435063,0.0,0.0,0.0,0.0010037026615576036,1.3384568102181427,3.008954094175711e+25,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7503772965671727,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.001494244367913957,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
17,17.0,146.32932189243638,-8.493061604858804,3.4970685515611617,3.272397317554359,3.272397317554359,6.979660270246446,0.735684965847106,2.796369331940538,-0.02608148557387605,0.0,0.0,0.0,0.0010037381728682888,1.338456139461648,5.843276425128858e+25,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7503106655228285,0.0,0.6798356552373789,0.0013666761375686167,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
18,18.0,146.32912141949222,-8.493024311054652,3.497073940908521,3.2723973175570062,3.2723973175570062,6.979639967048963,0.7356849364720989,2.7964124304155167,-0.02608031293650677,0.0,0.0,0.0,0.0010038071401890043,1.3384548370605711,1.1345456173375907e+26,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7501812969663288,0.0,0.6798356552373789,0.0013666761375686167,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
19,19.0,146.32873220790967,-8.49295244916146,3.497084327734354,3.2723973175621444,3.2723973175621444,6.9796005383045605,0.7356848794368275,2.796495479586808,-0.026078036297987807,0.0,0.0,0.0,0.0010039401061508878,1.3384523271685456,2.1781058318768054e+26,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7499320188724935,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
20,20.0,146.3279851155739,-8.492816924994875,3.497103923504251,3.2723973175720062,3.2723973175720062,6.979524814943115,0.7356847699402543,2.7966521096711894,-0.02607366627922003,0.0,0.0,0.0,0.0010041911244984356,1.3384475927602435,4.0711263063138406e+26,0.6798356552373789,0.3000949129445849,0.02006943181803622,-0.7494619233267984,0.0,0.6798356552373789,0.0013666761375686165,0.29872823680701627,0.0030249926619555123,0.0014942443679139567,0.009360410554955359,0.0020994599496976427,0.004090324283513738,0.0
