,model_number,num_zones,star_age,time_step,star_mass,log_abs_mdot,log_Teff,log_L,radius,log_g,log_center_T,log_center_Rho,center_mu,center_h1,center_he4,center_c12,center_n14,center_o16,center_fe56,surface_h1,surface_he4,surface_c12,surface_n14,surface_o16,dynamic_timescale,kh_timescale,nuc_timescale,log_LH,log_LHe,log_LZ,log_Lnuc,log_abs_Lgrav,pp,cno,tri_alfa,burn_c,burn_n,burn_o,mix_type_1,mix_qtop_1,mix_type_2,mix_qtop_2,mix_type_3,mix_qtop_3,mix_type_4,mix_qtop_4,mix_type_5,mix_qtop_5,burn_type_1,burn_qtop_1,burn_type_2,burn_qtop_2,burn_type_3,burn_qtop_3,burn_type_4,burn_qtop_4,burn_type_5,burn_qtop_5
419,419.0,1572.0,10241970,291687.2316727014,0.3499963584483079,-13.32866816796124,3.5545607592945,-1.105330315272155,0.7268958011955482,4.25900855869678,6.573192698588808,0.8898339369556764,0.6204997810968678,0.6999999977672733,0.2799702023647488,0.003441610610812008,0.0010081585468366039,0.009360446609139973,0.0,0.6999999977672758,0.27997020236474884,0.003441610610812009,0.001008158546836604,0.009360446609139974,10488.419492516796,50415577.4070223,44606057615.91873,-4.945630333030455,-85.42036095596178,-20.293948446095037,-4.945630333030455,-1.105393051104029,-4.945630333042543,-15.501068191537845,-85.42036095596178,-64.57588234961695,-75.34118246977009,-86.8449686943881,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
420,420.0,1572.0,10474611,232640.98152678594,0.3499963478332449,-13.340763649441138,3.554740338866493,-1.1113882835232385,0.7212469953867829,4.265784832064087,6.576477687975789,0.8998419481110422,0.6205250887635574,0.6999999975363489,0.27997020236474884,0.0034416106108120085,0.001008158546836604,0.009360446609139974,0.0,0.6999999975363514,0.2799702023647488,0.003441610610812007,0.0010081585468366039,0.00936044660913997,10366.397089260938,51524149.38074155,45232625422.50101,-4.912753696099537,-85.13844368677051,-20.470039705150718,-4.912753696099537,-1.1114569039174178,-4.912753696113838,-15.39516040001832,-85.13844368677051,-64.34445067505956,-75.07791728963534,-86.53055879389274,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
421,421.0,1572.0,10684842,210231.1799523339,0.34999633844709727,-13.350209747790002,3.554898290149729,-1.1167632063968052,0.7162764177643152,4.2717915484237565,6.579389430079346,0.9087129849544091,0.6205502340096898,0.699999997313211,0.2799702023647488,0.003441610610812008,0.0010081585468366039,0.009360446609139973,0.0,0.6999999973132139,0.27997020236474884,0.003441610610812007,0.0010081585468366039,0.009360446609139973,10259.419791037415,52527785.78326483,45795911487.99813,-4.883661799019941,-84.89030083346755,-20.470039705150718,-4.883661799019941,-1.116837495114585,-4.883661799036536,-15.301486314234767,-84.89030083346755,-64.13978801121351,-74.84509680408448,-86.2606295954362,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
422,422.0,1572.0,10886638,201796.03785038667,0.34999632960969523,-13.358588023019983,3.555046199707503,-1.1218335221378348,0.7116225079728792,4.277453491429954,6.582133796571514,0.9170740215711538,0.6205756805122237,0.6999999970850891,0.27997020236474884,0.003441610610812008,0.001008158546836604,0.009360446609139974,0.0,0.6999999970850922,0.2799702023647489,0.0034416106108120085,0.001008158546836604,0.009360446609139974,10159.593708982271,53492188.34274471,46333703169.51196,-4.85628391128351,-84.65752650586413,-19.925971660800442,-4.85628391128351,-1.1219135744624358,-4.8562839113025955,-15.21336822462728,-84.65752650586413,-63.947295912345616,-74.62611590667017,-86.01275307712675,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
423,423.0,1572.0,11086118,199479.85744771326,0.34999632103122713,-13.366489304781146,3.5551892211448335,-1.1267605045354114,0.7071314317194125,4.282952548932225,6.584798903490405,0.9251939575905063,0.6206015509349221,0.6999999968453698,0.2799702023647488,0.003441610610812007,0.0010081585468366039,0.009360446609139973,0.0,0.6999999968453732,0.27997020236474873,0.0034416106108120076,0.0010081585468366037,0.009360446609139973,10063.569371851292,54446110.50039754,46862341424.89901,-4.829735042581786,-84.4321843268705,-20.169009709486737,-4.829735042581786,-1.126846574734522,-4.829735042603643,-15.12795373501055,-84.4321843268705,-63.760739520744565,-74.4138824983154,-85.77509349238741,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
424,424.0,1572.0,11363347,277229.46381464094,0.3499963093180806,-13.374165810607543,3.5553827830366753,-1.1334480436161012,0.7010826968187708,4.290414321045971,6.588414644458756,0.9362120383888622,0.6206376802165428,0.6999999964834583,0.27997020236474884,0.003441610610812008,0.001008158546836604,0.009360446609139974,0.0,0.6999999964834617,0.27997020236474884,0.0034416106108120076,0.001008158546836604,0.009360446609139974,9934.721841572271,55768024.89251874,47589540159.79995,-4.793776310048527,-84.12741027210214,-98.99999999999999,-4.7937763100485276,-1.1335429954855993,-4.793776310074784,-15.012322056276254,-84.12741027210214,-63.50823142369402,-74.12661197303582,-85.45607581294878,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
425,425.0,1572.0,11693561,330213.752773515,0.34999629569701995,-13.384584228477951,3.555606646465767,-1.1411973172003094,0.6941397018561515,4.299059031444791,6.592602650810546,0.9489781812060316,0.6206794355621703,0.6999999960090825,0.2799702023647488,0.0034416106108120068,0.001008158546836604,0.009360446609139973,0.0,0.6999999960090864,0.27997020236474873,0.0034416106108120063,0.0010081585468366037,0.009360446609139973,9787.509011978293,57339891.52405905,48446316831.95348,-4.752212802985914,-83.77561751123001,-98.99999999999999,-4.752212802985914,-1.141303687898481,-4.752212803018367,-14.878749196411107,-83.77561751123001,-63.21661003525321,-73.79483165947067,-85.08934661168065,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
426,426.0,1572.0,11956962,263400.48833288247,0.3499962851298005,-13.396655848810694,3.5557806294163705,-1.1472488864294843,0.6887682739101865,4.3058065193639985,6.595870811736719,0.9589441594011745,0.6207104550965594,0.6999999956014074,0.27997020236474884,0.003441610610812007,0.0010081585468366043,0.009360446609139974,0.0,0.6999999956014116,0.27997020236474884,0.0034416106108120076,0.0010081585468366043,0.009360446609139976,9674.121905823939,58597914.60520865,49126103761.806496,-4.719843002328469,-83.50189308886928,-98.99999999999999,-4.71984300232847,-1.1473650977135061,-4.719843002366738,-14.774782490458266,-83.50189308886928,-62.98967323122387,-73.53663461422845,-84.80466823291076,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
427,427.0,1572.0,12195085,238123.71840683967,0.34999627578174025,-13.40608115544328,3.5559339178536598,-1.1526194786206294,0.6840396268987712,4.311790253704716,6.598768546048968,0.9677832031713541,0.6207356270703067,0.6999999952077176,0.2799702023647488,0.0034416106108120063,0.0010081585468366043,0.009360446609139973,0.0,0.6999999952077223,0.27997020236474884,0.0034416106108120076,0.0010081585468366045,0.009360446609139974,9574.668623075526,59737164.23477491,49737379706.44751,-4.691189829860337,-83.25975586729463,-19.992918450431056,-4.691189829860337,-1.1527451616963067,-4.691189829904615,-14.682796335624616,-83.25975586729463,-62.788921500838256,-73.30822300586206,-84.55312926404824,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
428,428.0,1572.0,12423741,228655.7195609282,0.3499962669765558,-13.414443609004993,3.556077385495006,-1.1576881442827571,0.6796103641877448,4.317432779006276,6.6015006276882415,0.976118856542974,0.6207564220649885,0.6999999948054564,0.27997020236474884,0.0034416106108120068,0.0010081585468366045,0.009360446609139974,0.0,0.6999999948054614,0.2799702023647489,0.003441610610812007,0.0010081585468366045,0.009360446609139976,9481.823249180416,60832338.8647541,50321265746.401985,-4.664215706404667,-83.03193223601943,-98.99999999999999,-4.664215706404668,-1.157823452571516,-4.6642157064554555,-14.596237303417489,-83.03193223601943,-62.60004342808648,-73.09331539851797,-84.31661559701139,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
429,429.0,1572.0,12649818,226076.65219459875,0.3499962584274206,-13.422333531854923,3.556215726389611,-1.1626162105176951,0.6753350315800671,4.3229141982114,6.604154314946148,0.9842166789645656,0.6207732204606274,0.6999999943830363,0.2799702023647488,0.003441610610812006,0.0010081585468366045,0.009360446609139973,0.0,0.6999999943830415,0.2799702023647488,0.0034416106108120063,0.0010081585468366045,0.00936044660913997,9392.491015630872,61916054.57067412,50895526589.76688,-4.638053548098431,-82.81107405471175,-19.867979713822756,-4.638053548098431,-1.1627615620610374,-4.638053548156443,-14.512317963105577,-82.81107405471175,-62.416953075279544,-72.88498797565917,-84.08740998731837,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
430,430.0,1572.0,12964064,314246.3233693265,0.3499962467521246,-13.430002302388306,3.55640199594141,-1.1693104487222126,0.6695756016303734,4.330353500135768,6.607755250758999,0.9952067279224001,0.6207899841682489,0.6999999937459459,0.27997020236474884,0.003441610610812006,0.001008158546836605,0.009360446609139974,0.0,0.6999999937459512,0.2799702023647488,0.0034416106108120055,0.0010081585468366047,0.009360446609139974,9272.59535806604,63418671.73814488,51686108611.82779,-4.602612048465371,-82.51204786732386,-98.99999999999999,-4.602612048465372,-1.1694706119419225,-4.602612048534827,-14.398687657967486,-82.51204786732386,-62.16908552841978,-72.60294652615853,-83.77717207846875,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
431,431.0,1572.0,13338313,374248.69574344147,0.34999623317699097,-13.440416184311335,3.556615774499427,-1.1770729713307937,0.6629653061389004,4.338971120131649,6.611925715794891,1.00793727231213,0.6208004128137102,0.6999999929121605,0.2799702023647488,0.0034416106108120046,0.0010081585468366052,0.009360446609139973,0.0,0.6999999929121665,0.2799702023647488,0.003441610610812005,0.001008158546836605,0.009360446609139973,9135.621313146064,65206133.54785616,52618242922.63499,-4.561649953701197,-82.1666827707063,-98.99999999999999,-4.561649953701197,-1.177252154377751,-4.561649953786704,-14.267435722453163,-82.1666827707063,-61.88284373893338,-72.2772287453778,-83.41893745194015,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
432,432.0,1572.0,13636653,298340.3492335171,0.3499962226519333,-13.452487508495471,3.5567812367489755,-1.1831334880650044,0.6578541502856828,4.345693472803985,6.615178425914725,1.0178683426495878,0.6208023193821702,0.6999999921968552,0.27997020236474884,0.0034416106108120046,0.0010081585468366058,0.009360446609139974,0.0,0.6999999921968616,0.27997020236474884,0.003441610610812004,0.0010081585468366058,0.009360446609139974,9030.178212020597,66636184.594449185,53357668594.97415,-4.529764995159783,-81.89802584725219,-98.99999999999999,-4.529764995159783,-1.1833290348021988,-4.529764995260296,-14.165327378359244,-81.89802584725219,-61.66020824049588,-72.02388082217988,-83.14031750576267,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
433,433.0,1573.0,13906196,269543.2742949071,0.3499962133468706,-13.461909195035817,3.5570038659851555,-1.1882046039690823,0.6533543733802892,4.351655094106551,6.618062885976595,1.0266767496695357,0.6208000908201022,0.6999999915071909,0.2799702023647488,0.0034416106108120037,0.0010081585468366063,0.009360446609139973,0.0,0.6999999915071978,0.2799702023647488,0.003441610610812003,0.0010081585468366063,0.00936044660913997,8937.68619564281,67883157.03954993,53984359080.652855,-4.501535962533208,-81.66030075149024,-98.99999999999999,-4.501535962533208,-1.1884157381343345,-4.5015359626491795,-14.074969487454602,-81.66030075149024,-61.46322849113666,-71.79972162108824,-82.89380782419954,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0,-9999.0,-1.0
